Label,Column Name,Definition,eval_category
TTPSA (mo),TTPSA (mo) | Control,"What is the median time to PSA progression, in months, of patients in the control arm? If reported, include the value as stated. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Overall | Treatment,"What is the overall survival rate, as a percentage, of patients in the treatment arm of the overall study population at the longest reported timepoint? If reported, include the value and the timepoint (e.g., '62.7% at 4 yr'). Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Overall | Control,"What is the overall survival rate, as a percentage, of patients in the control arm of the overall study population at the longest reported timepoint? If reported, include the value and the timepoint (e.g., '50.4% at 4 yr'). Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Synchronous | Treatment,"What is the overall survival rate, as a percentage, of patients in the treatment arm of the synchronous metastatic subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Synchronous | Control,"What is the overall survival rate, as a percentage, of patients in the control arm of the synchronous metastatic subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Metachronous | Treatment,"What is the overall survival rate, as a percentage, of patients in the treatment arm of the metachronous metastatic subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Metachronous | Control,"What is the overall survival rate, as a percentage, of patients in the control arm of the metachronous metastatic subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | High volume | Treatment,"What is the overall survival rate, as a percentage, of patients in the treatment arm of the high-volume disease subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | High volume | Control,"What is the overall survival rate, as a percentage, of patients in the control arm of the high-volume disease subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Low volume | Treatment,"What is the overall survival rate, as a percentage, of patients in the treatment arm of the low-volume disease subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Low volume | Control,"What is the overall survival rate, as a percentage, of patients in the control arm of the low-volume disease subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | Overall | Treatment,"What is the median overall survival, in months, of patients in the treatment arm of the overall study population? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | Overall | Control,"What is the median overall survival, in months, of patients in the control arm of the overall study population? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | High volume | Treatment,"What is the median overall survival, in months, of patients in the treatment arm of the high-volume disease subgroup? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | High volume | Control,"What is the median overall survival, in months, of patients in the control arm of the high-volume disease subgroup? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | Low volume | Treatment,"What is the median overall survival, in months, of patients in the treatment arm of the low-volume disease subgroup? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | Low volume | Control,"What is the median overall survival, in months, of patients in the control arm of the low-volume disease subgroup? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
PFS Rate (%),PFS Rate (%) | Overall | Treatment,"What progression-free survival rate (percentage of patients alive and progression-free) does the paper report for the treatment arm of the overall population, at the timepoint it reports? Give the rate with its timepoint (e.g. '33.9% at 4 years'). A median PFS or a hazard ratio is not a rate. Use 'Not reported' if no PFS rate is given.",numeric_tolerance
PFS Rate (%),PFS Rate (%) | Overall | Control,"What progression-free survival rate (percentage of patients alive and progression-free) does the paper report for the control arm of the overall population, at the timepoint it reports? Give the rate with its timepoint (e.g. '50.2% at 4 years'). A median PFS or a hazard ratio is not a rate. Use 'Not reported' if no PFS rate is given.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | Overall | Treatment,"What is the median progression-free survival, in months, for the treatment arm in the overall study population? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | Overall | Control,"What is the median progression-free survival, in months, for the control arm in the overall study population? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | High volume | Treatment,"What is the median progression-free survival, in months, for the treatment arm in the high-volume disease subgroup? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | High volume | Control,"What is the median progression-free survival, in months, for the control arm in the high-volume disease subgroup? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | Low volume | Treatment,"What is the median progression-free survival, in months, for the treatment arm in the low-volume disease subgroup? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | Low volume | Control,"What is the median progression-free survival, in months, for the control arm in the low-volume disease subgroup? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
COE_RCT_IND_OVERALL_RJ,COE_RCT_IND_OVERALL_RJ,"What is the overall risk-of-bias judgement for this randomised controlled trial (the overall COE risk judgement, e.g. 'Low', 'Some concerns' or 'High')? Give it only if the paper states such a judgement; otherwise 'Not reported'.",exact_match
Add-on Treatment,Add-on Treatment,"What is the specific agent or agents added to the shared backbone in the experimental arm(s)? Include the generic name of the drug(s). If multiple agents are added, list them separated by commas. Use 'Not reported' if the add-on treatment is not specified.",structured_text
Treatment Class,Treatment Class,"What is the pharmacological class of the add-on treatment? Include the standard class name (e.g., 'Androgen-receptor pathway inhibitor', 'Chemotherapy'). Use 'Not reported' if the class is not specified.",structured_text
Type of Therapy,Type of Therapy,"What is the type of therapy regimen used in the experimental arm? Derive the label 'Doublet therapy (ADT + <added agent class>)' if the regimen consists of ADT plus one additional agent class, or 'Triplet therapy (ADT + docetaxel + AR inhibitor)' if it consists of ADT, docetaxel, and an androgen-receptor inhibitor, even if the paper does not explicitly use these terms. Use 'Not reported' if the regimen type cannot be determined.",structured_text
