Label,Column Name,Definition,eval_category
OS Rate (%),OS Rate (%) | Synchronous | Treatment,"What is the overall survival rate, as a percentage, of patients in the treatment arm of the synchronous metastatic subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Synchronous | Control,"What is the overall survival rate, as a percentage, of patients in the control arm of the synchronous metastatic subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Metachronous | Treatment,"What is the overall survival rate, as a percentage, of patients in the treatment arm of the metachronous metastatic subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Metachronous | Control,"What is the overall survival rate, as a percentage, of patients in the control arm of the metachronous metastatic subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | High volume | Treatment,"What is the overall survival rate, as a percentage, of patients in the treatment arm of the high-volume disease subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | High volume | Control,"What is the overall survival rate, as a percentage, of patients in the control arm of the high-volume disease subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Low volume | Treatment,"What is the overall survival rate, as a percentage, of patients in the treatment arm of the low-volume disease subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Low volume | Control,"What is the overall survival rate, as a percentage, of patients in the control arm of the low-volume disease subgroup at the longest reported timepoint? If reported, include the value and the timepoint. Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | Overall | Treatment,"What is the median overall survival, in months, of patients in the treatment arm of the overall study population? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | Overall | Control,"What is the median overall survival, in months, of patients in the control arm of the overall study population? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | High volume | Treatment,"What is the median overall survival, in months, of patients in the treatment arm of the high-volume disease subgroup? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | High volume | Control,"What is the median overall survival, in months, of patients in the control arm of the high-volume disease subgroup? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | Low volume | Treatment,"What is the median overall survival, in months, of patients in the treatment arm of the low-volume disease subgroup? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
Median OS (mo),Median OS (mo) | Low volume | Control,"What is the median overall survival, in months, of patients in the control arm of the low-volume disease subgroup? If reported, include the value as stated (e.g., '48.9', 'Not reached', 'Not estimable'). Use 'Not reported' if missing.",numeric_tolerance
PFS Rate (%),PFS Rate (%) | Overall | Treatment,"What is the progression-free survival rate, as a percentage, of patients in the treatment arm of the overall study population at the specified timepoint? If reported, include the value as stated (e.g., '50%'). Use 'Not reported' if missing. Note: If the paper reports median PFS instead of a rate at a specific timepoint, answer 'Not reported' per column conventions.",numeric_tolerance
PFS Rate (%),PFS Rate (%) | Overall | Control,"What is the progression-free survival rate, as a percentage, of patients in the control arm of the overall study population at the specified timepoint? If reported, include the value as stated (e.g., '50%'). Use 'Not reported' if missing. Note: If the paper reports median PFS instead of a rate at a specific timepoint, answer 'Not reported' per column conventions.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | Overall | Treatment,"What is the median progression-free survival, in months, for the treatment arm in the overall study population? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | Overall | Control,"What is the median progression-free survival, in months, for the control arm in the overall study population? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | High volume | Treatment,"What is the median progression-free survival, in months, for the treatment arm in the high-volume disease subgroup? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | High volume | Control,"What is the median progression-free survival, in months, for the control arm in the high-volume disease subgroup? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | Low volume | Treatment,"What is the median progression-free survival, in months, for the treatment arm in the low-volume disease subgroup? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
Median PFS (mo),Median PFS (mo) | Low volume | Control,"What is the median progression-free survival, in months, for the control arm in the low-volume disease subgroup? If reported, include the value as stated. If the median was not reached or is not estimable, write 'Not reached' or 'Not estimable'. Use 'Not reported' if the value is missing.",numeric_tolerance
COE_RCT_IND_OVERALL_RJ,COE_RCT_IND_OVERALL_RJ,"Is this trial included in the overall Randomized Controlled Trial (RCT) analysis for the Clinical Outcome Evidence (COE) review? Answer 'Yes' if the trial meets the inclusion criteria for the overall RCT set, otherwise 'No'.",exact_match
Add-on Treatment,Add-on Treatment,"What is the specific agent or agents added to the shared backbone in the experimental arm(s)? Include the generic name of the drug(s). If multiple agents are added, list them separated by commas. Use 'Not reported' if the add-on treatment is not specified.",structured_text
Treatment Class,Treatment Class,"What is the pharmacological class of the add-on treatment? Include the standard class name (e.g., 'Androgen-receptor pathway inhibitor', 'Chemotherapy'). Use 'Not reported' if the class is not specified.",structured_text
Type of Therapy,Type of Therapy,"What is the type of therapy regimen used in the experimental arm? Describe the combination (e.g., 'Triplet therapy (ADT + docetaxel + AR inhibitor)'). Use 'Not reported' if the regimen type is not specified.",structured_text
